account_manager,bl_number,job_order_date,customer_name,consignee_name,shipment_type,scope_of_work,service_type,cargo_type,carrier,vessel_code,container_count,commodity,shipment_date,terminal,shipment_location,overseas_port,gcss_updatedate,kewill_jobno,kewill_invoiceno,cro_date,service_order_id,service_order_type,container_no,container_type,vendor_name,from_location,to_location,requested_date,defect_count,defect_code,milestone_description,milestone_date,notes
NULL,608270357,2021-06-11,"TETRA PAK MANUFACTURING LTD","UNITED OCEANS LOGISTICS EST",IMPORT,IH+CCD,SD,DRY,MSL,"CAP SAN TAINARO/120E",5,PAPER,2021-05-31,SAJED,JEDDAH,SECVX,2021-06-03,,,0000-00-00,000bbc8c-f133-44df-b0e6-3d6b96556ae7,CLR,NULL,NULL,"AL WARED AL BAHRI",,,2021-05-20,0,D01,"Duty payment/Final bayan date ",2021-06-02,RECEIVED
NULL,912448582,2021-06-26,"OBEIKAN GLASS COMPANY","OBEIKAN GLASS COMPANY",EXPORT,IH+CCO,SD,DRY,MSL,,2,Glass,2021-06-05,SAJED,JEDDAH,USA,0000-00-00,,,2021-05-23,00386432-0be0-4a16-aead-06a69c63099f,CLR,NULL,NULL,"AL WARED AL BAHRI",,,2021-05-31,0,D01,"Shipment cleared date",0000-00-00,
NULL,210411939,2021-06-24,"MADAR TRADING","MADAR TRADING",IMPORT,IH,SD,DRY,"Hapag Lloy",,4,TIMBER,2021-06-20,SAJED,JEDDAH,SWEDEN,0000-00-00,,,0000-00-00,0044ec71-7d03-40be-bae6-7870c8bca479,TRK,HASU4043687,DRY,SBT-LEASED,SAJED,JEDDA,2021-06-22,0,D01,"Empty return date",2021-06-24,E/R
NULL,912199826,2021-06-09,"HAJER INTERNATIONAL FACTORY","HAJER INTERNATIONAL FACTORY",EXPORT,IH+CCO,SD,DRY,MSL,MAERSK,10,OIL,2021-05-03,SAJED,JEDDAH,NETHERLAND,0000-00-00,,,2021-04-15,0075e976-f95d-419d-9c88-e8caf0409311,CLR,NULL,NULL,"AL WARED AL BAHRI",,,2021-04-27,0,D01,"Shipment ready or on-hold",2021-04-29,
NULL,912199826,2021-06-09,"HAJER INTERNATIONAL FACTORY","HAJER INTERNATIONAL FACTORY",EXPORT,IH+CCO,SD,DRY,MSL,MAERSK,10,OIL,2021-05-03,SAJED,JEDDAH,NETHERLAND,0000-00-00,,,2021-04-15,0075e976-f95d-419d-9c88-e8caf0409311,CLR,NULL,NULL,"AL WARED AL BAHRI",,,2021-04-27,0,D01,"Final bayan date",2021-04-29,
NULL,912522740,2021-06-27,"HAJER INTERNATIONAL FACTORY","HAJER INTERNATIONAL FACTORY",EXPORT,IH+CCO,SD,DRY,MLL,MAERSK,14,"EMPTY TANKS",2021-06-21,,JEDDAH,,2021-06-19,,,2021-06-06,00924c3a-41da-4ab5-b936-8154c8a5e51e,TRK,EURU1741348,TANK,"MANSOOR AL MOUSAD",JEDDAH,JEDDAH,2021-06-13,0,D01,"Manifest/Bayan received date",2021-06-13,M/R
NULL,912522740,2021-06-27,"HAJER INTERNATIONAL FACTORY","HAJER INTERNATIONAL FACTORY",EXPORT,IH+CCO,SD,DRY,MLL,MAERSK,14,"EMPTY TANKS",2021-06-21,,JEDDAH,,2021-06-19,,,2021-06-06,00924c3a-41da-4ab5-b936-8154c8a5e51e,TRK,EURU1143114,TANK,"MANSOOR AL MOUSAD",JEDDAH,JEDDAH,2021-06-13,0,D01,"Actual Gate-in date",2021-06-13,A/G
NULL,912522740,2021-06-27,"HAJER INTERNATIONAL FACTORY","HAJER INTERNATIONAL FACTORY",EXPORT,IH+CCO,SD,DRY,MLL,MAERSK,14,"EMPTY TANKS",2021-06-21,,JEDDAH,,2021-06-19,,,2021-06-06,00924c3a-41da-4ab5-b936-8154c8a5e51e,TRK,EURU1741374,TANK,"MANSOOR AL MOUSAD",JEDDAH,JEDDAH,2021-06-13,0,D01,"Actual Gate-in date",2021-06-13,A/G
NULL,912522740,2021-06-27,"HAJER INTERNATIONAL FACTORY","HAJER INTERNATIONAL FACTORY",EXPORT,IH+CCO,SD,DRY,MLL,MAERSK,14,"EMPTY TANKS",2021-06-21,,JEDDAH,,2021-06-19,,,2021-06-06,00924c3a-41da-4ab5-b936-8154c8a5e51e,TRK,EURU1844048,TANK,"MANSOOR AL MOUSAD",JEDDAH,JEDDAH,2021-06-13,0,D01,"Actual Gate-in date",2021-06-13,A/G
NULL,912522740,2021-06-27,"HAJER INTERNATIONAL FACTORY","HAJER INTERNATIONAL FACTORY",EXPORT,IH+CCO,SD,DRY,MLL,MAERSK,14,"EMPTY TANKS",2021-06-21,,JEDDAH,,2021-06-19,,,2021-06-06,00924c3a-41da-4ab5-b936-8154c8a5e51e,TRK,EURU1842852,TANK,"MANSOOR AL MOUSAD",JEDDAH,JEDDAH,2021-06-13,0,D01,"Manifest/Bayan received date",2021-06-13,M/R
NULL,912522740,2021-06-27,"HAJER INTERNATIONAL FACTORY","HAJER INTERNATIONAL FACTORY",EXPORT,IH+CCO,SD,DRY,MLL,MAERSK,14,"EMPTY TANKS",2021-06-21,,JEDDAH,,2021-06-19,,,2021-06-06,00924c3a-41da-4ab5-b936-8154c8a5e51e,TRK,CXTU1155020,TANK,"MANSOOR AL MOUSAD",JEDDAH,JEDDAH,2021-06-13,0,D01,"Manifest/Bayan received date",2021-06-13,M/R
NULL,912522740,2021-06-27,"HAJER INTERNATIONAL FACTORY","HAJER INTERNATIONAL FACTORY",EXPORT,IH+CCO,SD,DRY,MLL,MAERSK,14,"EMPTY TANKS",2021-06-21,,JEDDAH,,2021-06-19,,,2021-06-06,00924c3a-41da-4ab5-b936-8154c8a5e51e,TRK,EURU1750041,TANK,"MANSOOR AL MOUSAD",JEDDAH,JEDDAH,2021-06-13,0,D01,"Actual Gate-in date",2021-06-13,A/G
NULL,912522740,2021-06-27,"HAJER INTERNATIONAL FACTORY","HAJER INTERNATIONAL FACTORY",EXPORT,IH+CCO,SD,DRY,MLL,MAERSK,14,"EMPTY TANKS",2021-06-21,,JEDDAH,,2021-06-19,,,2021-06-06,00924c3a-41da-4ab5-b936-8154c8a5e51e,TRK,EURU1145734,TANK,"MANSOOR AL MOUSAD",JEDDAH,JEDDAH,2021-06-13,0,D01,"Manifest/Bayan received date",2021-06-13,M/R
NULL,912351286,2021-06-23,"ETC FRUIT GIDA SAN VE TIC LTD STI","ETC FRUIT GIDA SAN VE TIC LTD STI",IMPORT,IH+CCD,SD,REEF,MSL,,4,"FRESH GREEN CHIQUITA BANANAS",2021-06-06,SAJED,JEDDAH,GUAYAQUIL,2021-05-22,,,0000-00-00,00c85cfe-0acf-4744-98d6-255044fa3595,TRK,MWCU6921224,REEF,KTS,JEDDAHQ,RIYADH,2021-06-08,0,D01,"Shipment pullout date",2021-06-08,S/P
NULL,912351286,2021-06-23,"ETC FRUIT GIDA SAN VE TIC LTD STI","ETC FRUIT GIDA SAN VE TIC LTD STI",IMPORT,IH+CCD,SD,REEF,MSL,,4,"FRESH GREEN CHIQUITA BANANAS",2021-06-06,SAJED,JEDDAH,GUAYAQUIL,2021-05-22,,,0000-00-00,00c85cfe-0acf-4744-98d6-255044fa3595,TRK,MWCU6921224,REEF,KTS,JEDDAHQ,RIYADH,2021-06-08,0,D01,"Post shipment document upload date",2021-06-20,P/S
NULL,210103283,2021-06-08,"UNITED GULF CONSTRUCTION CO WLL","UNITED GULF CONSTRUCTION CO WLL",IMPORT,IH+CCD,CY,DRY,MLL,,18,STEEL,2021-05-06,KWSWKTM,SHUWAIKH,INCCUTR,0000-00-00,VIKWI0000773,5614126292,0000-00-00,00d295fc-320c-43fa-b2a4-e6419837372d,TRK,TCLU3813656,DRY,SWC,KWSWKTM,KWSWK,2021-05-10,0,D02,"Empty return date",2021-05-20,E/R
NULL,210103283,2021-06-08,"UNITED GULF CONSTRUCTION CO WLL","UNITED GULF CONSTRUCTION CO WLL",IMPORT,IH+CCD,CY,DRY,MLL,,18,STEEL,2021-05-06,KWSWKTM,SHUWAIKH,INCCUTR,0000-00-00,VIKWI0000773,5614126292,0000-00-00,00d295fc-320c-43fa-b2a4-e6419837372d,TRK,MRKU9107117,DRY,SWC,KWSWKTM,KWSWK,2021-05-10,0,D02,"Actual Delivery Date",2021-05-20,ADD
NULL,210103283,2021-06-08,"UNITED GULF CONSTRUCTION CO WLL","UNITED GULF CONSTRUCTION CO WLL",IMPORT,IH+CCD,CY,DRY,MLL,,18,STEEL,2021-05-06,KWSWKTM,SHUWAIKH,INCCUTR,0000-00-00,VIKWI0000773,5614126292,0000-00-00,00d295fc-320c-43fa-b2a4-e6419837372d,TRK,TCLU3813656,DRY,SWC,KWSWKTM,KWSWK,2021-05-10,0,D02,"Post shipment document upload date",0000-00-00,
NULL,210103283,2021-06-08,"UNITED GULF CONSTRUCTION CO WLL","UNITED GULF CONSTRUCTION CO WLL",IMPORT,IH+CCD,CY,DRY,MLL,,18,STEEL,2021-05-06,KWSWKTM,SHUWAIKH,INCCUTR,0000-00-00,VIKWI0000773,5614126292,0000-00-00,00d295fc-320c-43fa-b2a4-e6419837372d,TRK,PONU0472743,DRY,SWC,KWSWKTM,KWSWK,2021-05-10,0,D02,"Empty return date",2021-05-20,E/R
NULL,210103283,2021-06-08,"UNITED GULF CONSTRUCTION CO WLL","UNITED GULF CONSTRUCTION CO WLL",IMPORT,IH+CCD,CY,DRY,MLL,,18,STEEL,2021-05-06,KWSWKTM,SHUWAIKH,INCCUTR,0000-00-00,VIKWI0000773,5614126292,0000-00-00,00d295fc-320c-43fa-b2a4-e6419837372d,TRK,TCKU2474904,DRY,SWC,KWSWKTM,KWSWK,2021-05-10,0,D02,"Empty return date",2021-05-20,E/R
NULL,210103283,2021-06-08,"UNITED GULF CONSTRUCTION CO WLL","UNITED GULF CONSTRUCTION CO WLL",IMPORT,IH+CCD,CY,DRY,MLL,,18,STEEL,2021-05-06,KWSWKTM,SHUWAIKH,INCCUTR,0000-00-00,VIKWI0000773,5614126292,0000-00-00,00d295fc-320c-43fa-b2a4-e6419837372d,TRK,MRKU9107117,DRY,SWC,KWSWKTM,KWSWK,2021-05-10,0,D02,"Post shipment document upload date",0000-00-00,
NULL,210971767,2021-06-12,"CLASSIC FASHION APPAREL INDUSTRY LTD","SIDNEY APPAREL",EXPORT,IH,CY,DRY,MSL,,5,GARMENTS,2021-06-01,JOAHZTM,IRBID,JEDDAH,0000-00-00,VEZRC0000403,5611907353,2021-05-24,01131e86-b7df-4502-9e21-1e77ff13fa08,TRK,MRKU0481492,DRY,MULTAQA,IRBID,"AQABA TERMINAL",2021-05-24,0,D01,"Actual Gate-in date",2021-05-26,A/G
NULL,210137448,2021-06-11,"ALDAFA FOR TRADE AND MANUFACTURING","ALDAFA FOR TRADE AND MANUFACTURING",IMPORT,IH+CCD,SD,DRY,MSL,,1,,2021-05-24,JOAHZTM,AMMAN,JEDDAH,2021-05-23,,,0000-00-00,02496313-5fc9-4411-9fc3-8bd55e2eb7b8,TRK,MRKU3873706,DRY,SORAQIA,"AQABA TERMINAL",AMMAN,2021-05-23,0,D01,"Actual Delivery Date",2021-05-26,A/D
NULL,MEDUG0769778,2021-06-09,"FORTUNE SEVEN","FORTUNE SEVEN",IMPORT,IH+CCD,CY,DRY,MLL,,1,MACHINERY,2021-05-12,KWSWKTM,SHUWAIKH,NANSHA,0000-00-00,VIKWI0000786,5614126311,0000-00-00,0356ce38-d291-436d-b7dc-9158c2a5b356,CLR,NULL,NULL,SWC,,,2021-05-12,0,D01,"Duty payment/Final bayan date ",2021-05-17,
NULL,912263560,2021-06-28,"SUMA FRUIT CO","SUMA FRUIT CO",IMPORT,IH+CCD,CY,REEF,MLL,,5,BANANA,2021-06-10,KWSWKTM,ARIDYA,ECUDOR,0000-00-00,VIKWI0000821,,0000-00-00,03b90e24-1198-4917-9d2e-1584ffacfb49,TRK,PONU4827944,REEF,"SERVICE WAREHOUSE",KWSWKTM,ARIDYA,2021-06-15,0,D01,"Post shipment document upload date",2021-06-17,P/S
NULL,912263560,2021-06-28,"SUMA FRUIT CO","SUMA FRUIT CO",IMPORT,IH+CCD,CY,REEF,MLL,,5,BANANA,2021-06-10,KWSWKTM,ARIDYA,ECUDOR,0000-00-00,VIKWI0000821,,0000-00-00,03b90e24-1198-4917-9d2e-1584ffacfb49,TRK,SUDU6024400,REEF,"SERVICE WAREHOUSE",KWSWKTM,ARIDYA,2021-06-15,0,D01,"Shipment pullout date",2021-06-14,P/O
NULL,HLCUHEl210116611,2021-06-29,"INTERNATIONAL TIMBER CO LTD","INTERNATIONAL TIMBER CO LTD",IMPORT,IH+CCD,CY,DRY,MSL,,8,TIMBER,2021-06-20,SAJED,,RAUMA,0000-00-00,VIRIA0005844,,0000-00-00,04529a40-e32b-41a1-9b3d-26845d0c8bbf,CLR,NULL,NULL,"AL WARED AL BAHRI",,,2021-06-27,0,D01,"Customs file submission date",2021-05-27,
NULL,HLCUHEl210116611,2021-06-29,"INTERNATIONAL TIMBER CO LTD","INTERNATIONAL TIMBER CO LTD",IMPORT,IH+CCD,CY,DRY,MSL,,8,TIMBER,2021-06-20,SAJED,,RAUMA,0000-00-00,VIRIA0005844,,0000-00-00,04529a40-e32b-41a1-9b3d-26845d0c8bbf,CLR,NULL,NULL,"AL WARED AL BAHRI",,,2021-06-27,0,D01,"Ready for duty payment (Date)",2021-06-23,
NULL,HLCUHEL210101834,2021-06-24,,"INTERNATIONAL TIMBER CO LTD",IMPORT,IH+CCD,CY,DRY,MSL,,6,,2021-05-10,"DP WORLD",JEDDAH,,2021-05-10,VIRIA0005545,,0000-00-00,045ddb06-bfff-4572-a630-fdea367669c2,TRK,TCNU8321640,DRY,"AL ZAFER","JEDDAH ",JEDDAH,2021-05-12,0,D01,"Actual Delivery Date",2021-05-08,ADD
NULL,210731643,2021-06-08,"SAUDI MECHANICAL INDUSTRIES CO","SAUDI MECHANICAL INDUSTRIES CO",EXPORT,IH+CCO,SD,DRY,MSL,"MAERSK GIRONDE / 120E",1,MACHINERY,2021-06-02,SAJED,RIYADH,MEMPHIS,0000-00-00,,,2021-05-18,04c44a1b-11de-4de1-bb61-c72e33491006,TRK,MSKU7805002,DRY,"AL ZAFER",RIYADH,JEDDAH,2021-05-18,0,D01,"Containers pullout from terminal (Date)",2021-05-21,P/O
NULL,210731643,2021-06-08,"SAUDI MECHANICAL INDUSTRIES CO","SAUDI MECHANICAL INDUSTRIES CO",EXPORT,IH+CCO,SD,DRY,MSL,"MAERSK GIRONDE / 120E",1,MACHINERY,2021-06-02,SAJED,RIYADH,MEMPHIS,0000-00-00,,,2021-05-18,04c44a1b-11de-4de1-bb61-c72e33491006,TRK,MSKU7805002,DRY,"AL ZAFER",RIYADH,JEDDAH,2021-05-18,0,D01,"Manifest/Bayan received date",2021-05-26,M/R
NULL,912263293,2021-06-08,"ETC FRUIT GIDA SAN VE TIC LTD STI","ETC FRUIT GIDA SAN VE TIC LTD STI",IMPORT,IH+CCD,SD,REEF,MSL,,2,"FRESH GREEN CHIQUITA BANANAS",2021-05-23,SAJED,JEDDAH,GUAYAQUIL,2021-05-06,,,0000-00-00,04d6b2a6-6be9-46ce-abaa-78b9c2a59d39,TRK,SUDU6185810,REEF,UTC,JEDDAH,RIYADH,2021-05-26,0,D01,"Empty return date",2021-05-31,E
NULL,912375890,2021-06-26,"ETC FRUIT GIDA SAN VE TIC LTD STI","ETC FRUIT GIDA SAN VE TIC LTD STI",IMPORT,IH+CCD,SD,REEF,MSL,,4,"FRESH GREEN CHIQUITA BANANAS",2021-06-13,SAJED,JEDDAH,GUAYAQUIL,2021-05-26,,,0000-00-00,04eff3fb-c256-4c8c-94b5-db8b33f9a069,TRK,SUDU6260750,REEF,KTS,JEDDAH,RIYADH,2021-06-13,0,D01,"Shipment pullout date",2021-06-15,S/P
NULL,912375890,2021-06-26,"ETC FRUIT GIDA SAN VE TIC LTD STI","ETC FRUIT GIDA SAN VE TIC LTD STI",IMPORT,IH+CCD,SD,REEF,MSL,,4,"FRESH GREEN CHIQUITA BANANAS",2021-06-13,SAJED,JEDDAH,GUAYAQUIL,2021-05-26,,,0000-00-00,04eff3fb-c256-4c8c-94b5-db8b33f9a069,TRK,MMAU1013964,REEF,KTS,JEDDAH,RIYADH,2021-06-13,0,D01,"Post shipment document upload date",2021-06-25,P/S
NULL,MEDUG4138905,2021-06-08,"ASTRA POLYMER COMPOUNDING","ASTRA POLYMER COMPOUNDING",IMPORT,IH+CCD,CY,DRY,MSC,MSC,1,"CARBON BLACK",2021-05-25,SAKAP,RABIGH,NETHERLAND,2021-05-28,VIRIA0005686,5614171492,0000-00-00,0534274d-177a-413d-be55-955f41dd1446,CLR,NULL,NULL,"AL WARED AL BAHRI",,,2021-05-25,0,D01,"Shipment cleared date",2021-05-26,
NULL,210689557,2021-06-26,"GAP POLYMERS","GAP POLYMERS",EXPORT,IH,SD,DRY,MSL,"TSS PEARL/2104",21,PLASTIC,2021-06-29,SAJED,JEDDAH,YEADE,2021-06-08,,,2021-05-18,05387423-5f23-43bc-8a50-5b268cd162a6,TRK,MSKU9678801,DRY,"AL ZAFER",JEDDAH,JEDDAH,2021-05-19,0,D01,"Actual Gate-in date",2021-06-08,A/G
NULL,210689557,2021-06-26,"GAP POLYMERS","GAP POLYMERS",EXPORT,IH,SD,DRY,MSL,"TSS PEARL/2104",21,PLASTIC,2021-06-29,SAJED,JEDDAH,YEADE,2021-06-08,,,2021-05-18,05387423-5f23-43bc-8a50-5b268cd162a6,TRK,TCNU8633063,DRY,"AL ZAFER",JEDDAH,JEDDAH,2021-05-19,0,D01,"Actual stuffing date",2021-05-19,A/S
NULL,210689557,2021-06-26,"GAP POLYMERS","GAP POLYMERS",EXPORT,IH,SD,DRY,MSL,"TSS PEARL/2104",21,PLASTIC,2021-06-29,SAJED,JEDDAH,YEADE,2021-06-08,,,2021-05-18,05387423-5f23-43bc-8a50-5b268cd162a6,TRK,MRKU3185663,DRY,"AL ZAFER",JEDDAH,JEDDAH,2021-05-19,0,D01,"Actual Gate-in date",2021-06-08,A/G
NULL,210689557,2021-06-26,"GAP POLYMERS","GAP POLYMERS",EXPORT,IH,SD,DRY,MSL,"TSS PEARL/2104",21,PLASTIC,2021-06-29,SAJED,JEDDAH,YEADE,2021-06-08,,,2021-05-18,05387423-5f23-43bc-8a50-5b268cd162a6,TRK,MRKU2097399,DRY,"AL ZAFER",JEDDAH,JEDDAH,2021-05-19,0,D01,"Actual stuffing date",2021-05-19,A/S
NULL,210689557,2021-06-26,"GAP POLYMERS","GAP POLYMERS",EXPORT,IH,SD,DRY,MSL,"TSS PEARL/2104",21,PLASTIC,2021-06-29,SAJED,JEDDAH,YEADE,2021-06-08,,,2021-05-18,05387423-5f23-43bc-8a50-5b268cd162a6,TRK,HASU4083020,DRY,"AL ZAFER",JEDDAH,JEDDAH,2021-05-19,0,D01,"Actual Gate-in date",2021-06-08,A/G
NULL,210689557,2021-06-26,"GAP POLYMERS","GAP POLYMERS",EXPORT,IH,SD,DRY,MSL,"TSS PEARL/2104",21,PLASTIC,2021-06-29,SAJED,JEDDAH,YEADE,2021-06-08,,,2021-05-18,05387423-5f23-43bc-8a50-5b268cd162a6,TRK,HASU4114796,DRY,"AL ZAFER",JEDDAH,JEDDAH,2021-05-19,0,D01,"Containers pullout from terminal (Date)",2021-05-19,P/O
NULL,210689557,2021-06-26,"GAP POLYMERS","GAP POLYMERS",EXPORT,IH,SD,DRY,MSL,"TSS PEARL/2104",21,PLASTIC,2021-06-29,SAJED,JEDDAH,YEADE,2021-06-08,,,2021-05-18,05387423-5f23-43bc-8a50-5b268cd162a6,TRK,MRKU3036546,DRY,"AL ZAFER",JEDDAH,JEDDAH,2021-05-19,0,D01,"Containers pullout from terminal (Date)",2021-05-19,P/O
NULL,210689557,2021-06-26,"GAP POLYMERS","GAP POLYMERS",EXPORT,IH,SD,DRY,MSL,"TSS PEARL/2104",21,PLASTIC,2021-06-29,SAJED,JEDDAH,YEADE,2021-06-08,,,2021-05-18,05387423-5f23-43bc-8a50-5b268cd162a6,TRK,TCKU6774432,DRY,"AL ZAFER",JEDDAH,JEDDAH,2021-05-19,0,D01,"Containers pullout from terminal (Date)",2021-05-19,P/O
NULL,MEDUM7096750,2021-06-26,"ASTRA POLYMER COMPOUNDING","ASTRA POLYMER COMPOUNDING",IMPORT,IH+CCD,CY,DRY,MSC,MSC,4,"CARBON BLACK",2021-06-02,SAKAP,RABIGH,NETHERLAND,2021-06-12,VIRIA0005728,5614171882,0000-00-00,053f1c48-c897-4a35-9b9e-8abefca96dd8,TRK,CAAU5679212,DRY,"LEASED TRUCK",KAP,KAEC,2021-06-06,0,D01,"Post shipment document upload date",2021-06-06,P/S
NULL,608374270,2021-06-11,"TETRA PAK MANUFACTURING LTD","UNITED OCEANS LOGISTICS EST",IMPORT,IH+CCD,SD,DRY,MSL,"CAP SAN TAINARO/120E",11,PAPER,2021-05-31,SAJED,JEDDAH,FIKTK,2021-06-04,,,0000-00-00,05bc001c-8dde-4b00-9128-4b316641ccd4,TRK,TLLU6914817,DRY,TRELLA,JEDDAH,JEDDAH,2021-06-03,0,D01,"Post shipment document upload date",2021-06-07,E/R
NULL,608374270,2021-06-11,"TETRA PAK MANUFACTURING LTD","UNITED OCEANS LOGISTICS EST",IMPORT,IH+CCD,SD,DRY,MSL,"CAP SAN TAINARO/120E",11,PAPER,2021-05-31,SAJED,JEDDAH,FIKTK,2021-06-04,,,0000-00-00,05bc001c-8dde-4b00-9128-4b316641ccd4,TRK,CAAU5283279,DRY,TRELLA,JEDDAH,JEDDAH,2021-06-03,0,D01,"Shipment pullout date",2021-06-04,P/O
NULL,210848393,2021-06-08,"PHILIPS SOLUTIONS SAUDI ARABIA TRADING","PHILIPS SOLUTIONS SAUDI ARABIA TRADING",IMPORT,IH+CCD,SD,DRY,MSL,,2,ELECTRONICS,2021-05-25,SADMM,DAMMAM,"JABEL ALI",2021-05-25,,,0000-00-00,05c219c4-9340-4ebf-a10e-ec3464143812,CLR,NULL,NULL,"AWAD JARALLAH AL QAHTANI",,,2021-05-25,0,D01,"Shipment cleared date",2021-05-26,
