account_manager,bl_number,job_order_date,customer_name,consignee_name,shipment_type,scope_of_work,service_type,cargo_type,carrier,vessel_code,container_count,commodity,shipment_date,terminal,shipment_location,overseas_port,gcss_updatedate,kewill_jobno,kewill_invoiceno,cro_date
NULL," 912279761",2021-06-08,"ARAB PAPER MANUFACTURING CO LTD","ARAB PAPER MANUFACTURING CO LTD",EXPORT,IH+CCO,SD,REEF,MSL,"CAP SAN SOUNIO / 121W",0,,2021-05-29,SADMM,"SECOND INDUSTRIAL",SWEDEN,2021-05-18,,,2021-05-18
NULL,1KT113806,2021-06-07,"JOURI FREIGHT","JOURI FREIGHT",EXPORT,IH,SD,DRY,MSL,,2,,2021-05-04,JOAHZTM,amman,JEDDAH,2021-04-25,,,2021-04-25
NULL,1KT115768,2021-06-08,"JOURI FREIGHT","AMMAN DAIMOND LOGISTICS",EXPORT,IH,SD,DRY,MSL,,2,,2021-05-17,JOAHZTM,AMMAN,jeddah,0000-00-00,,,2021-05-03
NULL,1KT124676,2021-06-10,"INTERNATIONAL ISLAMIC YOUTH LEAGUE","INTERNATIONAL ISLAMIC YOUTH LEAGUE",EXPORT,IH+CCO,SD,DRY,MSL,"MAERSK GUATEMALA/118W",1,QURAN,2021-05-22,SAJED,JEDDAH,GHACC,2021-05-19,,,0000-00-00
NULL,"1KT133951 ",2021-06-08,"JOURI FREIGHT","JOURI FREIGHT",EXPORT,IH,SD,DRY,MSL,MAERSK,1,FERTILIZERS,2021-05-26,JOAHZTM,SAHAB,JOAHZTM,0000-00-00,,,2021-05-19
NULL,1KT168591,2021-06-27,"FIVE HUNDRED SOFTWARE TECHNOLOGY","FIVE HUNDRED SOFTWARE TECHNOLOGY",EXPORT,IH,SD,DRY,MSL,,1,"FOOD STUF",2021-06-22,JOAHZTM,AMMAN,JEDDAH,0000-00-00,,,0000-00-00
NULL,205540961,2021-06-09,"TAREQ KOUDR AL ZIHEBI EST","TAREQ KOUDR AL ZIHEBI EST",IMPORT,IH+CCD,SD,DRY,MSL,,1,WOOD,2021-04-30,CONGO,JEDDAH,SADMM,0000-00-00,,,0000-00-00
NULL,207874055,2021-06-07,"MADAR TRADING","MADAR TRADING",IMPORT,IH,SD,DRY,MSL,,4,TIMBER,2021-05-28,JEDDAH,JEDDAH,GABON,0000-00-00,,,0000-00-00
NULL,208226842,2021-06-04,"MADAR TRADING","MADAR TRADING",IMPORT,IH,SD,DRY,MSL,,9,TIMBER,2021-05-02,JEDDAH,JEDDAH,JEDDAH,0000-00-00,,,0000-00-00
NULL,208234406,2021-06-06,"INTERNATIONAL TIMBER CO LTD","INTERNATIONAL TIMBER CO LTD",IMPORT,IH+CCD,CY,DRY,MSL,,3,TIMBER,2021-05-22,KAP,KAP,KAP,0000-00-00,,,0000-00-00
NULL,208270167,2021-06-04,"MADAR TRADING","MADAR TRADING",IMPORT,IH,SD,DRY,MSL,,5,TIMBER,2021-05-02,JEDDAH,JEDDAH,JEDDAH,0000-00-00,,,0000-00-00
NULL,208420115,2021-06-03,"MADAR TRADING","MADAR TRADING",IMPORT,IH,SD,DRY,MSL,,8,TIMBER,2021-05-02,JEDDAH,JEDDAH,JEDDAH,0000-00-00,,,0000-00-00
NULL,208449656,2021-06-05,"MADAR TRADING","MADAR TRADING",IMPORT,IH,CY,DRY,MSL,,3,TIMBER,2021-05-05,JEDDAH,JEDDAH,JEDDAH,0000-00-00,,,0000-00-00
NULL,208513684,2021-06-05,"MADAR TRADING","INTERNATIONAL TIMBER CO LTD",IMPORT,IH,SD,DRY,MSL,,4,TIMBER,2021-05-07,JEDDAH,JEDDAH,JEDDAH,0000-00-00,,,0000-00-00
NULL,208513744,2021-06-15,"INTERNATIONAL TIMBER CO LTD","INTERNATIONAL TIMBER CO LTD",IMPORT,IH+CCD,CY,DRY,MSL,,1,TIMBER,2021-06-06,JEDDAH,,JEDDAH,0000-00-00,,,0000-00-00
NULL,208513943,2021-06-05,"INTERNATIONAL TIMBER CO LTD","INTERNATIONAL TIMBER CO LTD",IMPORT,IH+CCD,CY,DRY,MSL,,1,TIMBER,2021-05-25,JEDDAH,JEDDAH,JEDDAH,0000-00-00,VIRIA0005687,5614170756,0000-00-00
NULL,208689856,2021-06-05,"MADAR TRADING","MADAR TRADING",IMPORT,IH,SD,DRY,MSL,,3,TIMBER,2021-05-05,JEDDAH,JEDDAH,JEDDAH,0000-00-00,,,0000-00-00
NULL,208701819,2021-06-10,"GAP POLYMERS","GAP POLYMERS",EXPORT,IH,SD,DRY,MSL,"MAERSK GIBRALTER/117W",2,"PLASTIC ",2021-05-15,SAJED,JEDDAH,GHTMA,2021-05-05,,,2021-03-15
NULL,208702868,2021-06-04,"INTERNATIONAL TIMBER CO LTD","INTERNATIONAL TIMBER CO LTD",IMPORT,IH+CCD,SD,DRY,MSL,,40,TIMBER,2021-05-25,KAP,KAP,KAP,0000-00-00,VIRIA0005549,5614171493,0000-00-00
NULL,208715825,2021-06-12,"GAP POLYMERS","GAP POLYMERS",EXPORT,IH,SD,DRY,MSL,"CAP SAN TAINARO/116W",6,"PLASTIC ",2021-05-08,SAJED,JEDDAH,TGLFW,2021-04-28,,,2021-04-12
NULL,208728536,2021-06-10,"AL TAYBAT FOODSTUFF TRADING STORE","AL TAYBAT FOODSTUFF TRADING STORE",IMPORT,IH+CCD,SD,DRY,MSL,"MAERSK GENOA/116E",6,PASTRY,2021-05-02,SAJED,JEDDAH,PLGDN,2021-05-05,,,0000-00-00
NULL,208762552,2021-06-04,"MADAR TRADING","MADAR TRADING",IMPORT,IH,SD,DRY,CMA,,12,TIMBER,2021-05-02,JEDDAH,JEDDAH,JEDDAH,0000-00-00,,,0000-00-00
NULL,208762957,2021-06-07,"MADAR TRADING","MADAR TRADING",IMPORT,IH,SD,DRY,CMA,,35,TIMBER,2021-05-02,JEDDAH,JEDDAH,JEDDAH,0000-00-00,,,0000-00-00
NULL,208768291,2021-06-07,"JUBAIL PALLET PLANT","JUBAIL PALLET PLANT",IMPORT,IH+CCD,CY,DRY,MSL,,5,PALLETS,2021-06-03,SADMM,JUBAIL,BRAZIL,2021-05-06,VIRIA0005648,,0000-00-00
NULL,208768326,2021-06-06,"JUBAIL PALLET PLANT","JUBAIL PALLET PLANT",IMPORT,IH+CCD,CY,DRY,MSL,,3,PALLETSxx,2021-05-20,SADMM,JUBAIL,BRAZIL,2021-05-02,VIRIA0005645,,0000-00-00
NULL,208768342,2021-06-08,"JUBAIL PALLET PLANT","JUBAIL PALLET PLANT",IMPORT,IH+CCD,CY,DRY,MSL,,5,PALLETS,2021-05-27,SADMM,JUBAIL,BRAZIL,2021-05-06,VIRIA0005647,,0000-00-00
NULL,208768358,2021-06-05,"JUBAIL PALLET PLANT","JUBAIL PALLET PLANT",IMPORT,IH+CCD,CY,DRY,MSL,"CAP SAN LORENZO / 115N",5,PALLETS,2021-06-03,SADMM,JUBAIL,BRAZIL,2021-05-20,VIRIA0005663,,0000-00-00
NULL,208795068,2021-06-09,"PIRELLI TYRE SUISSE SA","BEHBEHANI TIRE CENRER",IMPORT,IH+CCD,CY,DRY,MLL,,1,Tires,2021-05-12,KWSAATM,KWSAATM,Carlisle,0000-00-00,VIKWI0000762,5614126291,0000-00-00
NULL,208850355,2021-06-11,"AL TAYBAT FOODSTUFF TRADING STORE","UNITED OCEANS LOGISTICS EST",IMPORT,IH+CCD,SD,DRY,MSL,"RIO CENTAURUS",3,FOODSTUFF,2021-05-21,SAJED,JEDDAH,PLNK2,2021-05-23,,,0000-00-00
NULL,209339067,2021-06-12,"GAP POLYMERS","GAP POLYMERS",EXPORT,IH,SD,DRY,MSL,SARAYU/110S,4,"PLASTIC ",2021-05-15,SAJED,"KING ABDULLAH PORT",SLFNA,2021-05-10,,,2021-04-15
NULL,209419284,2021-06-07,"MADAR TRADING","MADAR TRADING",IMPORT,IH,SD,DRY,MSL,,4,TIMBER,2021-05-09,JEDDAH,JEDDAH,JEDDAH,0000-00-00,,,0000-00-00
NULL,209421006,2021-06-05,"INTERNATIONAL TIMBER CO LTD","INTERNATIONAL TIMBER CO LTD",IMPORT,IH+CCD,CY,DRY,MSL,,20,TIMBER,2021-05-19,JEDDAH,JEDDAH,JEDDAH,0000-00-00,VIRIA0005669,5614170667,0000-00-00
