bl_number,service_order_id,service_order_type,container_no,container_type,trucking_vendor_name,from_location,to_location,requested_date,defect_count,defect_code,milestone_id,milestone_description,milestone_date,notes,sort_order
"MEDUG4350302 ",0040a448-2cb2-4690-893c-683646907ba9,TRK,MEDU4709337,DRY,"AL GHAMDI",KAP,DAMMAM,2021-06-24,0,D01,50300ce3-65af-45ec-9783-4816c835cb57,"Shipment pullout date",2021-06-26,P/O,10
"MEDUG4350302 ",0040a448-2cb2-4690-893c-683646907ba9,TRK,MEDU4709337,DRY,"AL GHAMDI",KAP,DAMMAM,2021-06-24,0,D01,9f08568a-837e-474c-9002-1da4ef0f56fa,"Actual Delivery Date",2021-06-26,ADD,20
"MEDUG4350302 ",0040a448-2cb2-4690-893c-683646907ba9,TRK,MEDU4709337,DRY,"AL GHAMDI",KAP,DAMMAM,2021-06-24,0,D01,75851132-92bc-4046-96f0-49525fd220a3,"Empty return date",2021-06-26,E/R,30
"MEDUG4350302 ",0040a448-2cb2-4690-893c-683646907ba9,TRK,MEDU4709337,DRY,"AL GHAMDI",KAP,DAMMAM,2021-06-24,0,D01,72590b64-7f9f-4103-bf13-6570b5e9faea,"Post shipment document upload date",2021-06-26,P/S,40
210411939,0044ec71-7d03-40be-bae6-7870c8bca479,TRK,HASU4043687,DRY,SBT-LEASED,SAJED,JEDDA,2021-06-22,0,D01,5fceb786-4691-404c-ba53-95ecd6771403,"Docs received date",2021-06-22,D/R,10
210411939,0044ec71-7d03-40be-bae6-7870c8bca479,TRK,HASU4043687,DRY,SBT-LEASED,SAJED,JEDDA,2021-06-22,0,D01,55a1bed5-6f2c-4e01-b3a4-5ac205f9dc7d,"Shipment pullout date",2021-06-22,P/L,20
210411939,0044ec71-7d03-40be-bae6-7870c8bca479,TRK,HASU4043687,DRY,SBT-LEASED,SAJED,JEDDA,2021-06-22,0,D01,84fd94dc-4098-4c35-b5ce-4d4a95f324d7,"Actual Delivery Date",2021-06-22,ADD,30
210411939,0044ec71-7d03-40be-bae6-7870c8bca479,TRK,HASU4043687,DRY,SBT-LEASED,SAJED,JEDDA,2021-06-22,0,D01,03350b25-29d4-49fd-b8bb-7e1bb8ee2558,"Empty return date",2021-06-24,E/R,40
210411939,0044ec71-7d03-40be-bae6-7870c8bca479,TRK,HASU4043687,DRY,SBT-LEASED,SAJED,JEDDA,2021-06-22,0,D01,9ddd203c-3ddd-4c23-b044-3bf4c6252436,"Post shipment document upload date",2021-06-22,P/O,50
210411939,0044ec71-7d03-40be-bae6-7870c8bca479,TRK,MRKU4129520,DRY,SBT-LEASED,SAJED,JEDDA,2021-06-22,0,D01,fb07dee0-b386-416b-949f-0fa5b0beefdf,"Docs received date",2021-06-22,D/R,10
210411939,0044ec71-7d03-40be-bae6-7870c8bca479,TRK,MRKU4129520,DRY,SBT-LEASED,SAJED,JEDDA,2021-06-22,0,D01,9ca2d794-5a6f-4166-834b-2b0a8f4dca6f,"Shipment pullout date",2021-06-22,P/L,20
